"Dilution","Content",".copy","Sample","T.0","T.10","T.20","T.30","T.40","T.50","T.60","T.70","T.80","T.90","T.100","T.110","T.120","T.130","T.140","T.150","T.160","T.170","T.180","T.190","T.200","T.210","T.220","T.230","T.240","T.250","T.260","T.270","T.280","T.290","T.300","T.310","T.320","T.330","T.340","T.350","T.360","T.370","T.380","T.390","T.400","T.410","T.420","T.430","T.440","T.450","T.460","T.470","T.480","T.490","T.500","T.510","T.520","T.530","T.540","T.550","T.560","T.570","T.580","T.590","T.600","T.610","T.620","T.630","T.640","T.650","T.660","T.670","T.680","T.690","T.700","T.710","T.720","T.730","T.740","T.750","T.760","T.770","T.780","T.790","T.800","T.810","T.820","T.830","T.840","T.850","T.860","T.870","T.880","T.890","T.900","T.910","T.920","T.930","T.940","T.950","T.960","T.970","T.980","T.990","T.1000","T.1010","T.1020","T.1030","T.1040","T.1050","T.1060","T.1070","T.1080"
1,"Red_w_o",1,"Un_0026 1/1",0.328056,0.2701,0.253113,0.243346,0.241402,0.237077,0.234923,0.23259,0.232204,0.231226,0.230639,0.230395,0.230366,0.229641,0.23019,0.230349,0.229318,0.22991,0.229899,0.229488,0.229945,0.229288,0.229259,0.229908,0.229594,0.229413,0.229264,0.229157,0.22946,0.229286,0.229609,0.229594,0.229551,0.229318,0.229692,0.229392,0.230122,0.230131,0.230383,0.229911,0.230117,0.229785,0.230438,0.230217,0.23046,0.230419,0.230068,0.230486,0.231079,0.23136,0.231489,0.231194,0.231252,0.231435,0.2314,0.231943,0.231726,0.231994,0.232183,0.232123,0.231734,0.231692,0.232111,0.232424,0.232586,0.232562,0.23253,0.232633,0.232792,0.232969,0.232758,0.233262,0.233118,0.232707,0.232922,0.233716,0.233317,0.23326,0.233662,0.233925,0.233583,0.233846,0.233732,0.234188,0.234502,0.234781,0.234454,0.234013,0.234231,0.234126,0.234362,0.234519,0.234985,0.234784,0.234822,0.234601,0.235278,0.235281,0.235239,0.234836,0.234731,0.235085,0.235531,0.23551,0.235732,0.234955,0.235081,0.234794,0.235399
0.5,"Red_w_o",1,"Un_0027 1/1",0.216277,0.202377,0.187467,0.182101,0.177265,0.17355,0.171576,0.169081,0.168325,0.16897,0.168148,0.1678,0.168833,0.16768,0.167674,0.167773,0.168174,0.167865,0.168136,0.167505,0.167587,0.167656,0.16775,0.167571,0.168,0.167777,0.167975,0.167556,0.167947,0.167655,0.16808,0.167568,0.167599,0.167952,0.167803,0.167927,0.168642,0.167725,0.168194,0.168123,0.168074,0.168104,0.167972,0.168065,0.167992,0.168122,0.167713,0.168462,0.168712,0.168442,0.168475,0.168193,0.168413,0.16862,0.168641,0.168824,0.168519,0.169198,0.16899,0.168803,0.168661,0.168557,0.168626,0.168809,0.168728,0.168739,0.168628,0.168692,0.168473,0.16854,0.168786,0.168467,0.168324,0.168145,0.168015,0.168668,0.168313,0.168154,0.168347,0.1681,0.168085,0.167765,0.168052,0.168055,0.168399,0.168273,0.16852,0.167838,0.168011,0.167912,0.168152,0.167661,0.168089,0.168018,0.16787,0.168032,0.167938,0.168064,0.167921,0.168303,0.168071,0.167986,0.167895,0.167939,0.168093,0.167523,0.167665,0.167741,0.167758
0.25,"Red_w_o",1,"Un_0028 1/1",0.164128,0.161434,0.157418,0.153992,0.151598,0.149362,0.148137,0.146922,0.146799,0.146911,0.146426,0.14533,0.14565,0.14437,0.144157,0.144083,0.143693,0.143363,0.143106,0.142972,0.142728,0.143602,0.142855,0.142902,0.143399,0.143016,0.143061,0.143039,0.143325,0.142988,0.143234,0.143248,0.143158,0.143364,0.143477,0.143092,0.143524,0.143579,0.14372,0.144043,0.143783,0.143637,0.143922,0.143667,0.143789,0.143922,0.143776,0.143863,0.144087,0.144033,0.144041,0.1441,0.143848,0.143928,0.144161,0.143655,0.14342,0.144289,0.144002,0.144274,0.14407,0.143781,0.143756,0.143786,0.144075,0.143733,0.143474,0.143757,0.143507,0.143966,0.143836,0.143765,0.143746,0.14353,0.143414,0.143636,0.143794,0.143791,0.143478,0.143674,0.143676,0.14382,0.143442,0.143294,0.143743,0.143726,0.143567,0.143455,0.143197,0.14348,0.143716,0.14338,0.143205,0.14349,0.1433,0.143427,0.143482,0.143611,0.143383,0.143363,0.142838,0.143197,0.143409,0.143245,0.143272,0.143046,0.1429,0.14282,0.143138
0.125,"Red_w_o",1,"Un_0029 1/1",0.148982,0.135825,0.134308,0.132501,0.13111,0.129843,0.129453,0.128634,0.128306,0.128579,0.128186,0.127882,0.128562,0.127827,0.127478,0.128173,0.127393,0.127054,0.127825,0.127322,0.126591,0.127884,0.127074,0.126981,0.1278,0.127198,0.127491,0.12716,0.126883,0.126494,0.127206,0.126741,0.126909,0.127486,0.127095,0.127327,0.127697,0.127686,0.127295,0.127512,0.127227,0.12749,0.127262,0.127353,0.127288,0.127297,0.127062,0.127062,0.127625,0.127453,0.127148,0.127458,0.127317,0.127045,0.127163,0.12762,0.127363,0.12771,0.127543,0.12759,0.127308,0.127416,0.126696,0.127366,0.127198,0.127364,0.12695,0.12691,0.127,0.126942,0.127324,0.127258,0.127186,0.127062,0.127143,0.127456,0.127341,0.127056,0.127116,0.126887,0.1268,0.127034,0.127241,0.126862,0.127404,0.127027,0.127082,0.126783,0.126924,0.127242,0.127024,0.126962,0.12691,0.127176,0.126895,0.127179,0.12707,0.126939,0.126752,0.127087,0.126912,0.126842,0.127224,0.127215,0.127124,0.126548,0.126399,0.126402,0.126663
0.0625,"Red_w_o",1,"Un_0030 1/1",0.140804,0.127412,0.126581,0.125861,0.125394,0.12583,0.125241,0.12525,0.1251,0.124865,0.124682,0.12482,0.124541,0.124611,0.123974,0.124581,0.124379,0.124056,0.123706,0.123555,0.123781,0.124064,0.124549,0.123695,0.124218,0.124265,0.124518,0.123995,0.124113,0.123893,0.124073,0.124127,0.123721,0.124071,0.123865,0.12394,0.124567,0.124346,0.12431,0.124577,0.124497,0.124957,0.124418,0.124058,0.124214,0.124455,0.124583,0.124383,0.124764,0.124663,0.124625,0.124659,0.124648,0.12495,0.124745,0.124178,0.124589,0.125224,0.124928,0.12499,0.125094,0.124852,0.124678,0.125054,0.125062,0.124864,0.125014,0.124485,0.125074,0.124759,0.124565,0.124852,0.124646,0.124629,0.124601,0.124917,0.12473,0.124875,0.124802,0.124711,0.124768,0.124629,0.124528,0.124923,0.124628,0.124515,0.124509,0.124232,0.124343,0.124211,0.124351,0.124076,0.124606,0.124296,0.124599,0.124868,0.124191,0.124236,0.124194,0.124598,0.124542,0.124234,0.124721,0.12426,0.124345,0.123812,0.124105,0.123788,0.124048
0.03125,"Red_w_o",1,"Un_0031 1/1",0.130194,0.115585,0.114065,0.113264,0.112857,0.11227,0.111527,0.111549,0.111357,0.110949,0.111108,0.110502,0.1103,0.110218,0.110203,0.10979,0.109564,0.109281,0.109185,0.109189,0.109196,0.109366,0.109457,0.109838,0.109471,0.10916,0.109434,0.109094,0.109113,0.109115,0.108447,0.108529,0.108883,0.10886,0.108639,0.108911,0.108835,0.109033,0.108808,0.109026,0.10886,0.108745,0.108467,0.10874,0.108492,0.108814,0.1087,0.108426,0.108565,0.109082,0.108803,0.108554,0.108609,0.108499,0.108438,0.10845,0.108811,0.108579,0.108655,0.108539,0.10818,0.10858,0.108073,0.108176,0.108005,0.108291,0.107978,0.107917,0.107986,0.107745,0.107748,0.107899,0.107818,0.107822,0.107378,0.107761,0.107779,0.107557,0.107529,0.10741,0.1076,0.107387,0.107567,0.107263,0.10745,0.107453,0.107528,0.107216,0.107298,0.107223,0.107053,0.10675,0.107038,0.107079,0.107237,0.107026,0.106888,0.106504,0.106613,0.106632,0.106595,0.10668,0.10721,0.106696,0.106753,0.106104,0.106174,0.10589,0.106218
0,"Red_w_o",1,"Un_0032 1/1",0.0979674,0.0854677,0.0833821,0.0828882,0.0825519,0.081807,0.0811144,0.0807821,0.0807655,0.080645,0.0800247,0.0801178,0.0799524,0.0800424,0.0797319,0.0798761,0.079784,0.0793,0.0792164,0.0793294,0.0792939,0.07939,0.0792868,0.0788579,0.0792321,0.0791823,0.0792636,0.0787948,0.0785757,0.0785331,0.078684,0.0785372,0.0782931,0.0785137,0.0782355,0.0785217,0.0784126,0.0782671,0.0781996,0.0783248,0.0780821,0.0782566,0.0778903,0.0778671,0.0780303,0.0781413,0.0781914,0.0777616,0.0779971,0.0779159,0.0779542,0.0778376,0.0772506,0.0774197,0.0775026,0.0775098,0.0773353,0.0778436,0.0777692,0.0778016,0.0774398,0.0771073,0.0772778,0.077153,0.0771463,0.0772875,0.077191,0.0770027,0.0770508,0.0771119,0.0771053,0.0770023,0.0768168,0.0769797,0.0766169,0.0770974,0.0771366,0.0769977,0.0768989,0.0770217,0.0767405,0.0771924,0.0771495,0.0772617,0.0772567,0.0773976,0.0774082,0.0768007,0.0770145,0.0770974,0.0771775,0.0772678,0.0772359,0.0774921,0.0775448,0.0774274,0.0773392,0.0773834,0.0772851,0.0775967,0.0775917,0.0774579,0.0779197,0.0777281,0.0781323,0.0771816,0.0773925,0.0773736,0.0775571
2,"White",1,"Un_0033 1/1",0.130609,0.100541,0.097126,0.0962313,0.0964996,0.0958153,0.0951607,0.0953101,0.0946416,0.0946502,0.0944368,0.0942434,0.0945561,0.0946943,0.0946565,0.0946599,0.0945885,0.0946055,0.0946784,0.0948751,0.0949253,0.0951405,0.0952284,0.0953002,0.0956208,0.0955499,0.0954255,0.0957559,0.0957297,0.0958134,0.0962491,0.0961604,0.0960321,0.0961514,0.0963684,0.0963145,0.0966204,0.0967432,0.0965688,0.0966784,0.0967272,0.0972052,0.0970938,0.0974917,0.0971264,0.09748,0.0974751,0.0973766,0.0977019,0.0979049,0.0980009,0.097901,0.0974968,0.0975484,0.0977534,0.0977886,0.097853,0.0983113,0.0984947,0.0986552,0.0981842,0.0982665,0.0984595,0.0986591,0.0990184,0.0985734,0.098647,0.0986197,0.0985483,0.0988172,0.0988235,0.0987937,0.0987379,0.098746,0.098759,0.0993139,0.0994127,0.099114,0.0989414,0.09931,0.0995667,0.0994349,0.0993355,0.0996895,0.0999022,0.100119,0.0999726,0.0996647,0.0996486,0.0996389,0.099678,0.0995876,0.0998225,0.0999108,0.0998205,0.100146,0.10011,0.100262,0.100454,0.100198,0.100273,0.100577,0.100475,0.100436,0.100539,0.100148,0.100093,0.100414,0.100691
1,"White",1,"Un_0034 1/1",0.129747,0.10737,0.105267,0.104591,0.103812,0.102874,0.101919,0.101661,0.101378,0.101191,0.10079,0.100357,0.100111,0.0995897,0.0996589,0.098975,0.0986609,0.0983675,0.0978311,0.0972254,0.0973461,0.0974602,0.0973191,0.097357,0.0974801,0.0974049,0.096732,0.0973026,0.0971187,0.0970569,0.0973816,0.0971941,0.0972057,0.0971821,0.0969798,0.0971042,0.0976665,0.0970365,0.0975181,0.0972457,0.0970693,0.0971266,0.096823,0.0968531,0.097012,0.096431,0.0966722,0.0969828,0.0969287,0.0968539,0.096931,0.0966185,0.0967176,0.0965759,0.0963848,0.0967694,0.0965957,0.0970316,0.0971526,0.096978,0.096355,0.0966082,0.096937,0.0967062,0.0964588,0.0965132,0.096523,0.09666,0.096461,0.0967766,0.0966202,0.0965239,0.0965354,0.096289,0.0962968,0.0965868,0.0966118,0.0964106,0.096625,0.096671,0.0963843,0.0964507,0.0963723,0.0964031,0.0967494,0.0967304,0.0968709,0.0963428,0.0960444,0.0963045,0.0963712,0.0963624,0.0963777,0.0966174,0.0964349,0.0963174,0.0962476,0.0964171,0.0964601,0.0969182,0.0963911,0.0967323,0.0966194,0.0965296,0.0963775,0.0960573,0.0960161,0.0959947,0.0964881
0.5,"White",1,"Un_0035 1/1",0.130612,0.102936,0.101241,0.0998864,0.0992594,0.0988684,0.0987322,0.0981965,0.0980793,0.0980941,0.098221,0.0980056,0.0983095,0.0985083,0.0980947,0.0981714,0.0980589,0.097925,0.0979433,0.0979293,0.0980277,0.0981,0.0980804,0.0979974,0.0982816,0.0982953,0.0984985,0.0984808,0.098175,0.0982823,0.0984862,0.0986067,0.0986235,0.0993474,0.0993064,0.0992161,0.0997148,0.0998738,0.100085,0.0999955,0.0999286,0.100345,0.100883,0.100571,0.101059,0.100902,0.101226,0.101125,0.102019,0.101887,0.102046,0.102256,0.102694,0.102523,0.102955,0.103058,0.10319,0.104126,0.104313,0.104239,0.104197,0.104763,0.105127,0.105405,0.105635,0.105703,0.106216,0.106276,0.106508,0.107098,0.107269,0.107188,0.107542,0.107993,0.108287,0.108653,0.109037,0.109291,0.109757,0.110071,0.110515,0.110597,0.110964,0.111512,0.111925,0.112517,0.112931,0.113054,0.113399,0.114002,0.114247,0.114441,0.114744,0.115373,0.115939,0.1159,0.116292,0.117047,0.117293,0.117518,0.118503,0.118767,0.11948,0.119695,0.120449,0.120202,0.120514,0.121341,0.121858
0.25,"White",1,"Un_0036 1/1",0.116959,0.108118,0.106681,0.106304,0.105942,0.106553,0.105857,0.106019,0.106031,0.106111,0.105815,0.106123,0.106299,0.106295,0.106106,0.105765,0.106033,0.106049,0.106214,0.106405,0.106237,0.106065,0.106891,0.106866,0.107209,0.107516,0.107648,0.107694,0.107779,0.107968,0.108651,0.109013,0.108962,0.109717,0.11014,0.11035,0.111084,0.111484,0.112039,0.112443,0.112719,0.113582,0.114023,0.114392,0.115384,0.116055,0.116706,0.117619,0.119036,0.119548,0.120473,0.121402,0.12232,0.123624,0.124842,0.126476,0.127893,0.130347,0.132654,0.135113,0.137699,0.140359,0.144181,0.147757,0.151652,0.155885,0.160187,0.165077,0.171153,0.177138,0.183526,0.190041,0.197502,0.204815,0.211865,0.220444,0.227934,0.236077,0.244567,0.252293,0.260399,0.267854,0.276205,0.284,0.292139,0.300564,0.307587,0.313164,0.319362,0.324466,0.329798,0.333204,0.337542,0.342072,0.345726,0.348441,0.352271,0.355292,0.357314,0.359809,0.363055,0.365101,0.368478,0.36886,0.370329,0.371355,0.372736,0.373544,0.375131
0.125,"White",1,"Un_0037 1/1",0.128458,0.109753,0.108236,0.107865,0.107984,0.108496,0.108954,0.109695,0.109547,0.109419,0.109586,0.109043,0.108986,0.108501,0.108242,0.108009,0.108186,0.108061,0.108148,0.108664,0.10857,0.108436,0.109385,0.109359,0.109982,0.110737,0.111718,0.112329,0.113725,0.115277,0.117016,0.119535,0.121956,0.125311,0.128792,0.132906,0.137564,0.14289,0.148757,0.155762,0.163203,0.171007,0.179121,0.187573,0.196926,0.205969,0.216074,0.226073,0.236778,0.245456,0.254454,0.2648,0.272771,0.281889,0.291635,0.300131,0.30852,0.317756,0.325722,0.333132,0.341019,0.351293,0.360519,0.367987,0.376412,0.386422,0.395262,0.40385,0.410565,0.418094,0.424745,0.430494,0.436883,0.441623,0.446329,0.451787,0.455073,0.457726,0.461146,0.463025,0.464588,0.467194,0.467812,0.468542,0.470687,0.471678,0.471856,0.472878,0.47344,0.473707,0.475347,0.475358,0.475265,0.476504,0.477249,0.477277,0.478063,0.47848,0.478606,0.478631,0.47851,0.47826,0.478207,0.478394,0.478857,0.478216,0.477263,0.477312,0.477125
0.0625,"White",1,"Un_0038 1/1",0.0976218,0.090848,0.0888634,0.0879884,0.0874403,0.0869009,0.0865235,0.0860811,0.0858094,0.0853396,0.0855472,0.0856549,0.0856816,0.0855086,0.085305,0.0852856,0.0851457,0.085233,0.084928,0.0850563,0.0854616,0.0853455,0.0860364,0.0866082,0.0875755,0.088227,0.0893857,0.0905728,0.0928919,0.0960572,0.0991461,0.103078,0.107826,0.113214,0.11917,0.12608,0.133809,0.142506,0.151526,0.160564,0.170598,0.180945,0.191603,0.200199,0.207841,0.218442,0.22771,0.238269,0.247115,0.256853,0.264699,0.273816,0.28143,0.289736,0.298639,0.305917,0.314863,0.322474,0.331445,0.337381,0.349395,0.355167,0.361445,0.370045,0.379128,0.384308,0.391476,0.398532,0.402413,0.408426,0.412092,0.416504,0.421323,0.423336,0.426456,0.430274,0.431593,0.433651,0.436542,0.437434,0.439002,0.441128,0.441355,0.442257,0.444088,0.444275,0.444974,0.445885,0.446283,0.447076,0.448764,0.449084,0.44996,0.451759,0.451846,0.451828,0.452327,0.452491,0.45238,0.452019,0.452222,0.451993,0.452578,0.453187,0.453973,0.453744,0.453908,0.454176,0.455554
0.03125,"White",1,"Un_0039 1/1",0.104233,0.0928467,0.090346,0.0891152,0.0882689,0.0869549,0.0867556,0.0861505,0.0860841,0.0857659,0.0856744,0.0852919,0.0851608,0.0848639,0.0850981,0.0849625,0.0847673,0.0846936,0.0846593,0.0846263,0.0849875,0.0853085,0.0856758,0.0858878,0.0868865,0.0880138,0.0893148,0.0916164,0.093823,0.0973123,0.101009,0.105786,0.110345,0.116674,0.123097,0.129497,0.137944,0.144866,0.154771,0.164359,0.173334,0.181984,0.191283,0.199683,0.209081,0.21804,0.227198,0.236924,0.246466,0.255127,0.264022,0.272398,0.280266,0.289133,0.297169,0.304,0.311955,0.32054,0.328143,0.336079,0.343453,0.354783,0.366758,0.3773,0.386147,0.394023,0.401679,0.407915,0.414972,0.420227,0.425992,0.430881,0.435542,0.438506,0.443962,0.448146,0.452395,0.454774,0.4585,0.461608,0.464599,0.46774,0.469433,0.471212,0.474777,0.476656,0.478352,0.481838,0.483459,0.485778,0.488284,0.489761,0.491408,0.494006,0.494736,0.49585,0.498055,0.500075,0.500993,0.503099,0.504404,0.506075,0.507697,0.509895,0.511125,0.512812,0.514036,0.515588,0.517567
0,"White",1,"Un_0040 1/1",0.0992528,0.0842012,0.08212,0.0808338,0.0802399,0.0791416,0.0785926,0.0778057,0.0778676,0.0781604,0.0779363,0.077686,0.0775517,0.0773149,0.0772099,0.0772764,0.076995,0.0773373,0.0768522,0.0772488,0.0772918,0.0780198,0.0787151,0.0792566,0.0808908,0.0822807,0.0845142,0.0874682,0.0911387,0.0957748,0.101175,0.107429,0.114419,0.122918,0.131784,0.141883,0.152502,0.163672,0.176206,0.192235,0.206199,0.220438,0.234467,0.246435,0.256477,0.267936,0.279385,0.292072,0.30384,0.315385,0.326868,0.339136,0.348831,0.364554,0.37409,0.385867,0.396967,0.411341,0.419201,0.428282,0.436952,0.442632,0.450038,0.460181,0.464136,0.468837,0.477462,0.481138,0.482656,0.487546,0.490276,0.491034,0.4947,0.494952,0.497038,0.498539,0.498238,0.497734,0.498241,0.498208,0.498958,0.500133,0.498688,0.498884,0.500029,0.499892,0.499531,0.500444,0.500258,0.499861,0.500137,0.499743,0.499462,0.500023,0.499893,0.49969,0.499939,0.499243,0.4981,0.499439,0.498893,0.499507,0.499388,0.499303,0.498948,0.499501,0.499016,0.4993,0.49947
2,"White",2,"Un_0041 1/1",0.145902,0.109188,0.106296,0.10477,0.103871,0.103221,0.101953,0.10129,0.101141,0.101254,0.100787,0.100462,0.100323,0.0997384,0.100055,0.0994045,0.099591,0.0996771,0.0999249,0.099641,0.0999994,0.100038,0.0998953,0.0999123,0.100188,0.0999132,0.100289,0.0999146,0.0998113,0.100156,0.100266,0.100367,0.100611,0.100494,0.100778,0.100667,0.100906,0.100932,0.101132,0.101493,0.101264,0.10122,0.101074,0.101591,0.101007,0.101528,0.101147,0.101112,0.101703,0.102297,0.10274,0.103437,0.102549,0.102443,0.102258,0.102099,0.102534,0.102578,0.103947,0.104334,0.103054,0.102604,0.102638,0.102993,0.10291,0.103771,0.104482,0.104103,0.103205,0.10315,0.103023,0.103215,0.104246,0.105019,0.10441,0.104089,0.103602,0.103689,0.103846,0.104052,0.105264,0.105135,0.104862,0.103977,0.104117,0.104293,0.104357,0.104068,0.105272,0.105683,0.105438,0.104458,0.104235,0.104655,0.104556,0.10507,0.105568,0.106446,0.106246,0.105301,0.104639,0.104489,0.104893,0.104809,0.105218,0.106066,0.106427,0.105791,0.105264
1,"White",2,"Un_0042 1/1",0.141475,0.104337,0.101984,0.100782,0.100464,0.100034,0.0994549,0.0994484,0.0994028,0.098958,0.099352,0.0994456,0.0999265,0.0991479,0.0996688,0.0997282,0.099921,0.0995414,0.0992289,0.0991813,0.0993799,0.0995998,0.0995002,0.0992274,0.0991131,0.0991923,0.0993818,0.0990904,0.0988056,0.0986322,0.099144,0.0990709,0.0990389,0.098716,0.0990305,0.0988608,0.0992241,0.0992721,0.0988767,0.0990295,0.0995211,0.0990094,0.0989379,0.0990758,0.0989685,0.0988276,0.0987277,0.0987828,0.0992692,0.0995647,0.0995745,0.0993431,0.0990128,0.098928,0.0993692,0.0992564,0.0989222,0.0995354,0.0997433,0.0996445,0.0990446,0.0990187,0.0990556,0.0994568,0.0994058,0.0995095,0.0989169,0.0992952,0.0992354,0.0992927,0.0989466,0.0993644,0.099292,0.099259,0.0991353,0.0995092,0.0995593,0.0996507,0.0992714,0.0994025,0.0994168,0.0994868,0.0993032,0.0995268,0.0995255,0.099894,0.099779,0.0993778,0.0991705,0.0993239,0.0993179,0.0991286,0.0995275,0.0999076,0.0993818,0.0991348,0.0995757,0.0994799,0.0994294,0.0994892,0.0996066,0.0994315,0.0997114,0.0996325,0.099639,0.0989428,0.0993151,0.0993425,0.0994054
0.5,"White",2,"Un_0043 1/1",0.134839,0.102119,0.100314,0.0997802,0.0990688,0.0991097,0.0984433,0.0980974,0.0977187,0.0979721,0.0978347,0.0976858,0.0980613,0.0978082,0.097737,0.0980851,0.0978906,0.0978162,0.0979689,0.0978528,0.0977305,0.0984394,0.0981408,0.0984859,0.098818,0.0989026,0.098784,0.0986592,0.0988507,0.0988881,0.0988568,0.0991886,0.0991608,0.0995574,0.0996926,0.0996123,0.0999627,0.10019,0.100214,0.100347,0.100571,0.100598,0.10083,0.100523,0.100903,0.100807,0.101527,0.101356,0.102045,0.102023,0.102354,0.102139,0.102232,0.10256,0.103118,0.102912,0.103166,0.103533,0.103813,0.10395,0.104112,0.104465,0.103997,0.104752,0.104502,0.104839,0.105296,0.105388,0.105931,0.106005,0.106018,0.106243,0.106463,0.106686,0.107,0.107465,0.107954,0.108063,0.107915,0.108291,0.108432,0.109109,0.10936,0.109783,0.11007,0.110198,0.11064,0.110628,0.110746,0.111269,0.111945,0.111859,0.111961,0.112664,0.112782,0.113343,0.113447,0.114044,0.114068,0.114473,0.114741,0.115023,0.115846,0.116215,0.11668,0.116665,0.116821,0.11736,0.117581
0.25,"White",2,"Un_0044 1/1",0.0998479,0.0954301,0.0943722,0.0936183,0.093316,0.0925906,0.0918867,0.0915861,0.092021,0.0919158,0.0914219,0.0917381,0.0918075,0.0915873,0.0915371,0.0916691,0.0913864,0.0918292,0.0915874,0.0916759,0.0914939,0.0918733,0.0919832,0.0918083,0.0925916,0.0927031,0.0928188,0.0929495,0.0928311,0.0930056,0.0934191,0.093623,0.0939905,0.0944489,0.0947318,0.0950251,0.0955545,0.0958296,0.0965049,0.0970737,0.0975904,0.0976492,0.0982758,0.0989089,0.0993914,0.0999001,0.100664,0.101482,0.102186,0.103237,0.103803,0.10475,0.105467,0.106596,0.107717,0.108908,0.110478,0.112097,0.114068,0.115797,0.117561,0.120095,0.122907,0.125588,0.128861,0.13257,0.136037,0.140219,0.144457,0.149562,0.15448,0.160321,0.16607,0.172002,0.178378,0.185331,0.192184,0.199486,0.206844,0.214601,0.222358,0.229222,0.237328,0.244333,0.252747,0.261219,0.268919,0.275481,0.283165,0.290024,0.295411,0.301872,0.305543,0.310583,0.313371,0.316631,0.319254,0.321576,0.324779,0.328075,0.330489,0.333335,0.335825,0.337513,0.340075,0.340688,0.34182,0.342306,0.344931
0.125,"White",2,"Un_0045 1/1",0.10533,0.0956141,0.0952563,0.0947312,0.0944363,0.0940884,0.0941254,0.0938349,0.0938173,0.0941489,0.0943859,0.0939219,0.0941546,0.0940619,0.0942012,0.0941516,0.0938864,0.0941659,0.0939109,0.0946284,0.0941273,0.0947324,0.0949589,0.0949422,0.095379,0.0960266,0.096586,0.0970644,0.0980407,0.0987772,0.100449,0.102349,0.103983,0.106963,0.10933,0.112614,0.116507,0.120165,0.125294,0.131135,0.137065,0.144041,0.151126,0.15907,0.167464,0.177391,0.185472,0.194035,0.203658,0.213173,0.223172,0.231365,0.24123,0.249242,0.258388,0.267409,0.274635,0.283524,0.292034,0.29968,0.308121,0.316383,0.324465,0.332971,0.341924,0.34936,0.357859,0.36631,0.372964,0.38061,0.386359,0.391703,0.398317,0.403998,0.409274,0.413037,0.417673,0.420629,0.423872,0.425841,0.427943,0.431156,0.431373,0.432593,0.434147,0.435707,0.436005,0.43752,0.437425,0.437831,0.439467,0.43943,0.440844,0.442626,0.444863,0.445003,0.446586,0.447495,0.448694,0.447417,0.447308,0.447007,0.447594,0.447468,0.44653,0.446198,0.445709,0.446034,0.445377
0.0625,"White",2,"Un_0046 1/1",0.113021,0.105074,0.103439,0.103436,0.103706,0.10339,0.10315,0.102755,0.102902,0.102337,0.102675,0.102311,0.10228,0.102485,0.10246,0.102363,0.102172,0.102563,0.102992,0.102875,0.103259,0.104061,0.105268,0.106364,0.107666,0.110006,0.112392,0.116224,0.120691,0.126384,0.132128,0.138955,0.146283,0.154247,0.162552,0.17078,0.181697,0.188554,0.196192,0.206348,0.214856,0.222915,0.231845,0.240969,0.248256,0.257251,0.263799,0.271821,0.279631,0.287978,0.294643,0.302398,0.308625,0.31573,0.323361,0.328995,0.335779,0.342885,0.350108,0.357097,0.363705,0.370782,0.377968,0.385534,0.391472,0.39935,0.405963,0.410158,0.415474,0.421702,0.425379,0.429296,0.433374,0.436166,0.439759,0.443779,0.446334,0.448271,0.450949,0.453564,0.454646,0.455766,0.457157,0.458082,0.459676,0.460499,0.461504,0.460962,0.462086,0.463946,0.464133,0.46475,0.465433,0.466637,0.466838,0.467955,0.4679,0.468713,0.46926,0.469665,0.469603,0.470565,0.471583,0.471336,0.472372,0.471812,0.472331,0.473677,0.473746
0.03125,"White",2,"Un_0047 1/1",0.105381,0.0875714,0.0857585,0.0850613,0.0843098,0.0843123,0.0835644,0.08339,0.0831864,0.0834196,0.0832992,0.083312,0.0836755,0.0832589,0.0834646,0.0835625,0.0835143,0.0836375,0.0834892,0.0837073,0.0836726,0.083976,0.0846138,0.0852688,0.0863593,0.087719,0.0898566,0.0917554,0.094715,0.0988939,0.102892,0.10765,0.114004,0.119963,0.127075,0.134472,0.142936,0.151683,0.160676,0.170467,0.180467,0.188243,0.198991,0.210611,0.219411,0.228293,0.235907,0.245625,0.25558,0.263207,0.271532,0.279446,0.286797,0.294936,0.303174,0.310829,0.319837,0.327273,0.335724,0.342486,0.350499,0.356844,0.365363,0.372769,0.378841,0.387046,0.394065,0.401441,0.406569,0.412593,0.417728,0.422062,0.427399,0.430492,0.433274,0.436388,0.43943,0.441861,0.444176,0.446541,0.448505,0.449782,0.451167,0.452662,0.454556,0.456216,0.457157,0.458254,0.459168,0.459954,0.46033,0.460838,0.461088,0.461689,0.461911,0.462626,0.462604,0.462135,0.462954,0.463015,0.463018,0.463003,0.464253,0.464127,0.463842,0.463676,0.46466,0.464392,0.465475
