"Dilution","Content",".copy","Sample","T.0","T.10","T.20","T.30","T.40","T.50","T.60","T.70","T.80","T.90","T.100","T.110","T.120","T.130","T.140","T.150","T.160","T.170","T.180","T.190","T.200","T.210","T.220","T.230","T.240","T.250","T.260","T.270","T.280","T.290","T.300","T.310","T.320","T.330","T.340","T.350","T.360","T.370","T.380","T.390","T.400","T.410","T.420","T.430","T.440","T.450","T.460","T.470","T.480","T.490","T.500","T.510","T.520","T.530","T.540","T.550","T.560","T.570","T.580","T.590","T.600","T.610","T.620","T.630","T.640","T.650","T.660","T.670","T.680","T.690","T.700","T.710","T.720","T.730","T.740","T.750","T.760","T.770","T.780","T.790","T.800","T.810","T.820","T.830","T.840","T.850","T.860","T.870","T.880","T.890","T.900","T.910","T.920","T.930","T.940","T.950","T.960","T.970","T.980","T.990","T.1000","T.1010","T.1020","T.1030","T.1040","T.1050","T.1060","T.1070","T.1080"
0,"Red",2,"Un_0016 1/1",0.122629,0.116029,0.116515,0.117215,0.117199,0.118431,0.118406,0.118507,0.118393,0.118887,0.119124,0.118911,0.118776,0.119847,0.120106,0.120301,0.120483,0.120949,0.120793,0.121557,0.121865,0.122379,0.12315,0.124246,0.125664,0.127643,0.130497,0.133027,0.137059,0.14221,0.147558,0.153888,0.161185,0.168244,0.177658,0.184957,0.195444,0.206444,0.219303,0.230098,0.242391,0.251907,0.262478,0.276248,0.286342,0.294849,0.305141,0.313994,0.323813,0.333587,0.343003,0.350756,0.36112,0.370797,0.380032,0.390609,0.398494,0.408654,0.418185,0.425791,0.434114,0.442297,0.448659,0.455506,0.462751,0.467648,0.473383,0.478645,0.483504,0.487653,0.490342,0.494513,0.497882,0.500649,0.503537,0.50405,0.506205,0.507828,0.508706,0.509217,0.509936,0.511191,0.511785,0.511826,0.512224,0.512609,0.512866,0.512578,0.513427,0.513485,0.513432,0.513562,0.514288,0.513756,0.5138,0.513722,0.513519,0.51446,0.514231,0.514364,0.514901,0.514294,0.514761,0.514917,0.514628,0.514343,0.514256,0.51409,0.51467
2,"Red",3,"Un_0017 1/1",0.39872,0.277493,0.260348,0.251753,0.245756,0.243025,0.240726,0.239892,0.239126,0.238105,0.237174,0.236231,0.235547,0.235185,0.234396,0.233899,0.233424,0.232828,0.232048,0.231909,0.231874,0.231573,0.231274,0.230709,0.230745,0.231295,0.230638,0.230986,0.230325,0.230662,0.230646,0.230779,0.230436,0.230778,0.230736,0.230927,0.230822,0.230786,0.231118,0.231044,0.231194,0.231218,0.231253,0.231355,0.231162,0.231014,0.231222,0.231768,0.232225,0.232102,0.23213,0.23184,0.231913,0.231942,0.232137,0.232204,0.232584,0.232938,0.233105,0.232914,0.232976,0.232937,0.23315,0.232836,0.233314,0.233264,0.23335,0.233594,0.233914,0.233789,0.234056,0.234507,0.233897,0.233877,0.23419,0.23462,0.234647,0.234779,0.234815,0.235005,0.23513,0.235165,0.235257,0.235294,0.23563,0.235838,0.235949,0.235546,0.235699,0.235666,0.235834,0.236114,0.235855,0.236235,0.236389,0.236258,0.23653,0.236707,0.23684,0.236922,0.237038,0.237143,0.237257,0.237331,0.237552,0.236886,0.236707,0.237006,0.237616
1,"Red",3,"Un_0018 1/1",0.348753,0.2931,0.269482,0.255941,0.246738,0.238942,0.235325,0.232392,0.231655,0.2299,0.230222,0.229091,0.229542,0.228876,0.228932,0.22887,0.227921,0.228161,0.228036,0.228021,0.228124,0.227928,0.228047,0.228186,0.228465,0.228217,0.228202,0.227886,0.227879,0.228062,0.228453,0.228444,0.228402,0.228601,0.228449,0.228514,0.228787,0.22899,0.228854,0.228778,0.228908,0.22917,0.229631,0.22957,0.229963,0.229639,0.229882,0.230075,0.230348,0.231027,0.230653,0.231,0.230996,0.230786,0.23115,0.231386,0.231135,0.231879,0.23199,0.23215,0.232125,0.231925,0.231734,0.232242,0.231936,0.232306,0.23187,0.232006,0.232147,0.232375,0.232211,0.232581,0.2324,0.232428,0.232908,0.233184,0.233052,0.233095,0.233447,0.2334,0.233801,0.233649,0.233749,0.233734,0.23359,0.234001,0.234077,0.233874,0.233758,0.233724,0.233789,0.233894,0.234208,0.234323,0.234595,0.234273,0.234313,0.233951,0.234516,0.234356,0.234382,0.234302,0.234953,0.234849,0.234478,0.234711,0.23465,0.234811,0.234813
0.5,"Red",3,"Un_0019 1/1",0.236256,0.223458,0.216357,0.207005,0.202504,0.200178,0.19745,0.19516,0.194383,0.193568,0.192694,0.192401,0.192907,0.192323,0.191456,0.192576,0.19176,0.192379,0.191632,0.191755,0.191615,0.192623,0.191637,0.191877,0.191714,0.191644,0.191831,0.192308,0.19199,0.191592,0.192101,0.191772,0.191788,0.192023,0.192389,0.192736,0.192845,0.192648,0.193205,0.193047,0.192713,0.192529,0.192997,0.193111,0.193386,0.192917,0.19316,0.193082,0.193443,0.19319,0.193341,0.193147,0.193611,0.193197,0.193744,0.193901,0.193888,0.19377,0.194096,0.193992,0.19349,0.193909,0.193859,0.193033,0.193572,0.193272,0.193596,0.193942,0.193541,0.193639,0.19443,0.194404,0.193821,0.193934,0.193953,0.194066,0.194097,0.194265,0.193863,0.194021,0.193699,0.193825,0.193978,0.193733,0.194886,0.193995,0.193883,0.193892,0.19369,0.193628,0.193972,0.193938,0.193968,0.19358,0.19403,0.194154,0.194014,0.194808,0.194005,0.193903,0.194149,0.194262,0.193778,0.194185,0.194619,0.193076,0.192782,0.19302,0.193275
0.25,"Red",3,"Un_0020 1/1",0.176191,0.166991,0.164546,0.159307,0.156423,0.15441,0.152119,0.150387,0.149061,0.149622,0.148992,0.147514,0.147479,0.147368,0.146568,0.146618,0.145801,0.145618,0.145851,0.145388,0.144796,0.144375,0.144974,0.144819,0.144951,0.144477,0.144673,0.144766,0.144755,0.144434,0.144585,0.144292,0.144253,0.14464,0.144575,0.14434,0.144616,0.14474,0.144639,0.144695,0.144514,0.144747,0.144339,0.144412,0.144375,0.144667,0.144378,0.144515,0.144883,0.144785,0.144706,0.144542,0.144541,0.144561,0.144511,0.144519,0.144281,0.144619,0.144687,0.14447,0.144345,0.144119,0.144306,0.144381,0.144381,0.14414,0.144218,0.144195,0.143967,0.144336,0.144438,0.144254,0.144163,0.14401,0.143865,0.144195,0.143982,0.144159,0.144162,0.144134,0.144266,0.144223,0.144293,0.144046,0.144569,0.144243,0.144545,0.144019,0.143677,0.143718,0.143844,0.143674,0.144038,0.143905,0.143782,0.143828,0.143801,0.144007,0.14386,0.143864,0.143724,0.144026,0.143969,0.143804,0.143821,0.143464,0.143531,0.143552,0.143446
0.125,"Red",3,"Un_0021 1/1",0.159991,0.144381,0.142759,0.141394,0.140026,0.139246,0.137792,0.138227,0.137346,0.136253,0.136368,0.135992,0.135873,0.135518,0.135412,0.135441,0.135109,0.134531,0.134227,0.134374,0.134498,0.134121,0.134664,0.133886,0.134545,0.134558,0.134955,0.134305,0.134525,0.13438,0.134607,0.134918,0.134518,0.134887,0.134644,0.134863,0.135165,0.135163,0.135049,0.134892,0.135263,0.135293,0.134845,0.135309,0.13516,0.135221,0.135222,0.134845,0.135643,0.135304,0.135207,0.135299,0.135335,0.135184,0.135411,0.135319,0.135145,0.135753,0.135762,0.135717,0.135185,0.1353,0.135057,0.135392,0.135379,0.135403,0.135115,0.134914,0.135103,0.134899,0.135183,0.134785,0.134757,0.135031,0.134588,0.134891,0.13497,0.134942,0.134762,0.13514,0.134845,0.134882,0.134999,0.134842,0.134998,0.134957,0.134847,0.134529,0.134358,0.134452,0.134262,0.134647,0.134525,0.134547,0.13453,0.134285,0.134658,0.134356,0.134397,0.134258,0.134055,0.13404,0.134372,0.134417,0.134151,0.133857,0.133861,0.133991,0.133774
0.0625,"Red",3,"Un_0022 1/1",0.153655,0.135322,0.13346,0.131854,0.131094,0.130403,0.130162,0.129364,0.128711,0.128718,0.128735,0.128406,0.128143,0.127963,0.127782,0.127856,0.127972,0.127889,0.127434,0.127096,0.127341,0.127384,0.127291,0.127406,0.127257,0.127685,0.127642,0.127302,0.127521,0.127476,0.127707,0.127975,0.127857,0.127564,0.128201,0.128139,0.12856,0.128398,0.128716,0.128744,0.129082,0.12924,0.12943,0.129532,0.129584,0.129462,0.130097,0.130322,0.130574,0.130505,0.130958,0.131196,0.131381,0.131362,0.131549,0.132185,0.132358,0.132923,0.132958,0.133432,0.133323,0.1334,0.133971,0.134343,0.134512,0.134534,0.135199,0.135171,0.135454,0.136108,0.136359,0.136767,0.136577,0.137227,0.137294,0.138099,0.138279,0.138603,0.138706,0.13905,0.139342,0.139701,0.140155,0.140744,0.141204,0.141057,0.141794,0.141798,0.142641,0.142986,0.14328,0.144131,0.144675,0.145264,0.145894,0.147156,0.148161,0.149508,0.150381,0.151902,0.154056,0.155993,0.158778,0.16175,0.165448,0.168136,0.172517,0.177235,0.182521
0.03125,"Red",3,"Un_0023 1/1",0.112108,0.106159,0.104701,0.103317,0.102645,0.102002,0.101516,0.101219,0.101078,0.100891,0.100582,0.100622,0.100584,0.100162,0.100086,0.100222,0.100127,0.100249,0.0996941,0.0999494,0.100409,0.100486,0.100394,0.100755,0.101059,0.101794,0.102581,0.102903,0.104408,0.105177,0.107291,0.109098,0.111181,0.114318,0.117523,0.121599,0.12548,0.130071,0.134577,0.140162,0.146441,0.153623,0.160088,0.168083,0.175459,0.18428,0.192526,0.202181,0.211161,0.220612,0.230314,0.238939,0.248097,0.257825,0.266504,0.275351,0.283995,0.293625,0.303471,0.312246,0.322306,0.334182,0.343618,0.354791,0.363687,0.375186,0.386591,0.398589,0.408143,0.418633,0.428167,0.436166,0.444942,0.452227,0.457546,0.464708,0.470697,0.475004,0.478279,0.482322,0.484342,0.487773,0.489692,0.491505,0.494451,0.495584,0.497361,0.498359,0.499966,0.500268,0.501733,0.503097,0.504145,0.505117,0.506805,0.50714,0.507237,0.507218,0.50638,0.506827,0.507582,0.507195,0.507925,0.508125,0.509547,0.51016,0.509583,0.509712,0.509862
0,"Red",3,"Un_0024 1/1",0.104369,0.0872962,0.0857083,0.0849167,0.084289,0.0836878,0.0834755,0.0826903,0.0826147,0.0827325,0.0819755,0.082354,0.0818655,0.0819538,0.0817226,0.0816977,0.0818081,0.0816798,0.0812115,0.0817188,0.082037,0.0823135,0.08271,0.0838879,0.0845656,0.0864517,0.0883312,0.0908592,0.0938497,0.0983747,0.103436,0.109303,0.115833,0.122987,0.131,0.139469,0.149829,0.16029,0.168322,0.180124,0.192227,0.203197,0.216528,0.230909,0.242178,0.253133,0.264938,0.277488,0.289585,0.305958,0.319875,0.331515,0.343578,0.357937,0.371229,0.384468,0.396891,0.410121,0.423946,0.437079,0.449916,0.460324,0.470696,0.481054,0.490687,0.499434,0.50818,0.51575,0.52216,0.527277,0.531795,0.535763,0.540764,0.542487,0.544225,0.546027,0.547864,0.548295,0.550501,0.551913,0.553391,0.555542,0.556253,0.558259,0.560217,0.561352,0.562032,0.562507,0.56325,0.563717,0.565901,0.56532,0.566322,0.567182,0.568077,0.570541,0.571074,0.573513,0.572279,0.573556,0.575528,0.574363,0.575759,0.57681,0.577814,0.578692,0.578835,0.579575,0.581213
2,"Red_w_o",1,"Un_0025 1/1",0.365911,0.258966,0.247672,0.241839,0.238157,0.235782,0.233134,0.231518,0.229621,0.228388,0.227003,0.226423,0.225606,0.224906,0.224122,0.22296,0.22264,0.222443,0.221493,0.220728,0.221378,0.220566,0.220235,0.220307,0.220507,0.220785,0.219922,0.219509,0.219256,0.21932,0.219224,0.219099,0.219218,0.219438,0.21948,0.21985,0.219974,0.219494,0.219873,0.219455,0.219953,0.219902,0.220266,0.219672,0.219641,0.220184,0.220301,0.219889,0.220484,0.220405,0.220555,0.220303,0.220314,0.221104,0.220935,0.220935,0.221354,0.221745,0.222348,0.222112,0.221984,0.221881,0.222152,0.22181,0.221834,0.222204,0.222983,0.222304,0.222624,0.22283,0.222989,0.223236,0.222981,0.223158,0.223611,0.224158,0.223507,0.2239,0.224287,0.224181,0.223962,0.224515,0.224023,0.224584,0.224624,0.225354,0.224695,0.225049,0.224812,0.224839,0.225578,0.225225,0.225247,0.225558,0.225552,0.225418,0.226249,0.225684,0.225771,0.225916,0.226098,0.226208,0.226424,0.227312,0.226446,0.226124,0.226652,0.226604,0.226629
